,Ticker,Setor,QuantidadeAtivos
259,SPVJ11,Outros,0
260,SRVD11,Títulos e Val. Mob.,0
261,STRX11,Híbrido,0
262,STRX11,Híbrido,0
263,STRX11,Híbrido,0
264,STRX11,Híbrido,0
265,STRX11,Híbrido,0
266,STRX11,Híbrido,0
267,STRX11,Híbrido,0
268,STRX11,Híbrido,0
269,TEPP11,Lajes Corporativas,5
270,TGAR11,Outros,0
271,TORD11,Outros,0
272,TRNT11,Lajes Corporativas,1
273,TRXF11,Outros,44
274,URPR11,Outros,0
275,VCJR11,Títulos e Val. Mob.,0
276,VCRR11,Residencial,0
277,VGHF11,Títulos e Val. Mob.,0
278,VGIA11,Títulos e Val. Mob.,0
279,VGIP11,Outros,0
280,VGIR11,Títulos e Val. Mob.,0
281,VIFI11,Títulos e Val. Mob.,0
282,VILG11,Logística,16
283,VINO11,Lajes Corporativas,9
284,VISC11,Shoppings,15
285,VIUR11,Títulos e Val. Mob.,6
286,VJFD11,Híbrido,0
287,VLOL11,Lajes Corporativas,1
288,VOTS11,Títulos e Val. Mob.,0
289,VRTA11,Títulos e Val. Mob.,0
290,VSHO11,Shoppings,3
291,VSLH11,Outros,0
292,VTLT11,Logística,1
293,VVPR11,Híbrido,6
294,VXXV11,Outros,0
295,WPLZ11,Shoppings,1
296,WTSP11B,Híbrido,0
297,XPCA11,Títulos e Val. Mob.,0
298,XPCI11,Outros,0
299,XPCM11,Lajes Corporativas,1
300,XPHT11,Hotel,5
301,XPIN11,Outros,5
302,XPLG11,Logística,13
303,XPML11,Shoppings,16
304,XPPR11,Outros,4
305,XPSF11,Outros,0
306,XTED11,Lajes Corporativas,1
307,YUFI11B,Residencial,0
