,Ticker,Datetime,Dividends,Close
24,RNDP11,2022-02,3.29,615.0
25,RNDP11,2022-03,4.76,385.11
26,RNDP11,2022-04,4.26,380.0
27,RNDP11,2022-05,3.74,375.0
28,RNDP11,2022-06,3.58,301.64
29,RNDP11,2022-07,3.1,328.08
30,RNDP11,2022-08,2.39,300.0
31,RNDP11,2022-09,2.29,272.0
32,RNDP11,2022-10,2.14,256.21
33,RNDP11,2022-11,0.77,157.99
34,RNDP11,2022-12,0.81,157.01
0,RNGO11,2020-02,0.47,97.08
1,RNGO11,2020-03,0.42,73.4499
2,RNGO11,2020-04,0.42,74.04
3,RNGO11,2020-05,0.42,72.78
4,RNGO11,2020-06,0.52,79.13
5,RNGO11,2020-07,0.42,70.0
6,RNGO11,2020-08,0.42,72.47
7,RNGO11,2020-09,0.42,71.95
8,RNGO11,2020-10,0.42,70.81
9,RNGO11,2020-11,0.42,71.52
10,RNGO11,2020-12,0.56,71.0
11,RNGO11,2021-01,0.39,70.39
12,RNGO11,2021-02,0.41,64.49
13,RNGO11,2021-03,0.39,64.51
14,RNGO11,2021-04,0.38,62.5
15,RNGO11,2021-05,0.37,63.11
16,RNGO11,2021-06,0.37,61.82
17,RNGO11,2021-07,0.35,62.35
18,RNGO11,2021-08,0.35,57.6
19,RNGO11,2021-09,0.35,59.41
20,RNGO11,2021-10,0.35,56.73
21,RNGO11,2021-11,0.35,51.0
22,RNGO11,2021-12,0.35,52.97
23,RNGO11,2022-01,0.35,51.42
24,RNGO11,2022-02,0.35,47.66
25,RNGO11,2022-03,0.35,48.86
26,RNGO11,2022-04,0.39,50.1
27,RNGO11,2022-05,0.39,48.91
28,RNGO11,2022-06,0.45,46.26
29,RNGO11,2022-07,0.4,46.35
30,RNGO11,2022-08,0.43,55.3
31,RNGO11,2022-09,0.43,51.93
32,RNGO11,2022-10,0.43,49.04
33,RNGO11,2022-11,0.43,47.61
34,RNGO11,2022-12,0.43,48.73
0,RRCI11,2020-12,0.51,98.61
1,RRCI11,2021-01,0.54,97.5
2,RRCI11,2021-02,0.62,91.28
3,RRCI11,2021-03,0.66,92.88
4,RRCI11,2021-04,0.7,90.71
5,RRCI11,2021-05,0.7,87.28
6,RRCI11,2021-06,0.73,84.8
7,RRCI11,2021-07,0.71,85.36
8,RRCI11,2021-08,0.83,81.0
9,RRCI11,2021-09,0.84,80.6
10,RRCI11,2021-10,0.89,80.03
11,RRCI11,2021-11,0.92,78.27
12,RRCI11,2021-12,1.02,84.0
13,RRCI11,2022-01,1.12,87.75
14,RRCI11,2022-02,1.2,87.11
15,RRCI11,2022-02,1.2,87.11
16,RRCI11,2022-03,1.3,91.3
17,RRCI11,2022-04,1.3,92.25
18,RRCI11,2022-05,1.4,91.3
19,RRCI11,2022-06,1.3,89.93
20,RRCI11,2022-07,1.2,86.15
21,RRCI11,2022-08,1.2,85.16
22,RRCI11,2022-08,1.2,85.16
23,RRCI11,2022-09,1.05,85.98
24,RRCI11,2022-10,1.0,83.5
25,RRCI11,2022-11,0.9,86.85
26,RRCI11,2022-12,0.9,87.71
0,RVBI11,2020-03,0.25,79.4
1,RVBI11,2020-04,0.33,86.4
2,RVBI11,2020-05,0.34,78.7
3,RVBI11,2020-06,0.46,82.73
4,RVBI11,2020-07,0.53,80.1
